,Unnamed: 0,id,source,target,package,section,object,subsection,source_text,node_colour
0,25,id829,2.1.1,WGI SPM A.1,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  ,#f6ae2d
1,26,id829,2.1.1,WGI SPM A.1.2,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  ,#f6ae2d
2,27,id829,2.1.1,WGI SPM A.1.3,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  ,#f6ae2d
3,28,id829,2.1.1,WGI SPM A.2.2,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  ,#f6ae2d
4,29,id829,2.1.1,WGI Figure SPM 2,WGI,SPM,Figure,,Global  surface  temperature  was  around  1.1°C  ,#f6ae2d
5,30,id829,2.1.1,SRCCL TS 2,SRCCL,TS,,,Global  surface  temperature  was  around  1.1°C  ,#ee6637
6,31,id905,6,WGI SPM footnote 11,WGI,SPM,footnote,,"6 In this report, the term ‘losses and damages’ re",#f6ae2d
7,32,id1014,6,WGI SPM A1.1,WGI,SPM,,,years (very high confidence). The net cooling effe,#f6ae2d
8,33,id1014,6,WGI SPM A1.3,WGI,SPM,,,years (very high confidence). The net cooling effe,#f6ae2d
9,34,id1014,6,WGI SPM A.2.1,WGI,SPM,,,years (very high confidence). The net cooling effe,#f6ae2d
10,35,id1014,6,WGI Figure SPM 2,WGI,SPM,Figure,,years (very high confidence). The net cooling effe,#f6ae2d
11,36,id1014,6,WGI TS 2.2,WGI,TS,,,years (very high confidence). The net cooling effe,#f6ae2d
12,39,id1062,6,WGI SPM A.2.2,WGI,SPM,,,Figure 2.1: The causal chain from emissions to res,#f6ae2d
13,40,id1062,6,WGI Figure SPM 1,WGI,SPM,Figure,,Figure 2.1: The causal chain from emissions to res,#f6ae2d
14,41,id1062,6,WGI Figure SPM 2,WGI,SPM,Figure,,Figure 2.1: The causal chain from emissions to res,#f6ae2d
15,42,id1062,6,WGI TS2.2,WGI,TS2.2,,,Figure 2.1: The causal chain from emissions to res,#f6ae2d
16,44,id1062,6,WGIII Figure SPM 1,WGIII,SPM,Figure,,Figure 2.1: The causal chain from emissions to res,#ff9b70
17,46,id1144,6,WGIII SPM B1.1,WGIII,SPM,,,Average annual GHG emissions12 during 2010–2019 we,#ff9b70
18,47,id1144,6,WGIII SPM B.1.2,WGIII,SPM,,,Average annual GHG emissions12 during 2010–2019 we,#ff9b70
19,48,id1144,6,WGIII SPM B.1.3,WGIII,SPM,,,Average annual GHG emissions12 during 2010–2019 we,#ff9b70
20,49,id1144,6,WGIII Figure SPM 1,WGIII,SPM,Figure,,Average annual GHG emissions12 during 2010–2019 we,#ff9b70
21,50,id1144,6,WGIII Figure SPM 2,WGIII,SPM,Figure,,Average annual GHG emissions12 during 2010–2019 we,#ff9b70
22,51,id1188,6,WGI SPM D.1.8,WGI,SPM,,,12 GHG emission metrics are used to express emissi,#f6ae2d
23,53,id1188,6,WGIII SPM B.1,WGIII,SPM,,,12 GHG emission metrics are used to express emissi,#ff9b70
24,55,id1278,6,WGIII Figure SPM 2,WGIII,SPM,Figure,,confidence interval). Panel (b) shows the distribu,#ff9b70
25,56,id1328,6,WGIII SPM B.3,WGIII,SPM,,,Regional  contributions  to  global  human-caused ,#ff9b70
26,57,id1328,6,WGIII SPM B3.1,WGIII,SPM,,,Regional  contributions  to  global  human-caused ,#ff9b70
27,58,id1328,6,WGIII SPM B.3.2,WGIII,SPM,,,Regional  contributions  to  global  human-caused ,#ff9b70
28,59,id1328,6,WGIII SPM B.3.3,WGIII,SPM,,,Regional  contributions  to  global  human-caused ,#ff9b70
29,60,id1378,6,WGIII SPM B.2,WGIII,SPM,,,Net  GHG  emissions  have  increased  since  2010 ,#ff9b70
30,61,id1378,6,WGIII SPM B.2.1,WGIII,SPM,,,Net  GHG  emissions  have  increased  since  2010 ,#ff9b70
31,62,id1378,6,WGIII SPM B.2.2,WGIII,SPM,,,Net  GHG  emissions  have  increased  since  2010 ,#ff9b70
32,63,id1378,6,WGIII TS 5.6.1,WGIII,TS,,,Net  GHG  emissions  have  increased  since  2010 ,#ff9b70
33,64,id1441,6,WGIII SPM Footnote 14,WGIII,SPM,Footnote,,13 Territorial emissions 14 GHG emission levels ar,#ff9b70
34,65,id1500,6,WGIII SPM B.2,WGIII,SPM,,,"income, state of urbanisation and urban form. (hig",#ff9b70
35,66,id1500,6,WGIII SPM B.2.3,WGIII,SPM,,,"income, state of urbanisation and urban form. (hig",#ff9b70
36,67,id1500,6,WGIII SPM B.3.4,WGIII,SPM,,,"income, state of urbanisation and urban form. (hig",#ff9b70
37,68,id1500,6,WGIII SPM D.1.1,WGIII,SPM,,,"income, state of urbanisation and urban form. (hig",#ff9b70
38,69,id1511,2.1.2,WGI SPM A.1,WGI,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
39,70,id1511,2.1.2,WGI SPM A.1.3,WGI,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
40,71,id1511,2.1.2,WGI SPM A.1.5,WGI,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
41,72,id1511,2.1.2,WGI SPM A.1.6,WGI,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
42,73,id1511,2.1.2,WG1 SPM A1.7,WG1,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
43,74,id1511,2.1.2,WGI SPM A.2,WGI,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
44,75,id1511,2.1.2,WG1 SPM A.4.2,WG1,SPM,,,It is unequivocal that human influence has warmed ,#f6ae2d
45,76,id1511,2.1.2,SROCC SPM A.1,SROCC,SPM,,,It is unequivocal that human influence has warmed ,#585fcc
46,77,id1511,2.1.2,SROCC SPM A.2,SROCC,SPM,,,It is unequivocal that human influence has warmed ,#585fcc
47,78,id1566,2.1.2,WGI Table TS 1,WGI,TS,Table,,Table  2.1:  Assessment  of  observed  changes  in,#f6ae2d
